"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"310","DQ164194_Cb_2001_VelocLat",3775.18942453457,0.367933860656118,0.160226118200622,-3.00803,3.23168,10260.511,5e+07,1
"311","DQ164194_Cb_2001_VelocLon",3807.45802949749,0.3710787922256,1.30323870466119,-4.70514,7.45258,10260.511,5e+07,1
"312","DQ164195_Cx_2002_VelocLat",357.673528706967,0.0348592315438254,0.184020273154855,-3.34908,3.21722,10260.511,5e+07,1
"313","DQ164195_Cx_2002_VelocLon",323.73258536329,0.0315513121484193,7.44663751519662,1.06482,13.8739,10260.511,5e+07,1
"314","DQ164196_Hs_2002_VelocLat",98.5706191180311,0.00960679435147344,-4.40350912859365,-8.67023,-1.02273,10260.511,5e+07,1
"315","DQ164196_Hs_2002_VelocLon",57.1844106561201,0.00557325172753288,3.38521209588092,-2.26087,9.77205,10260.511,5e+07,1
"316","DQ164197_Hs_2002_VelocLat",98.4541414289522,0.00959544231558761,-4.40945589206843,-8.71539,-1.05672,10260.511,5e+07,1
"317","DQ164197_Hs_2002_VelocLon",59.019794404272,0.00575213012337027,3.38301895421684,-2.19967,9.81068,10260.511,5e+07,1
"318","DQ164198_Hs_2002_VelocLat",63.8892192581003,0.00622670929918601,-5.07538482088425,-9.39328,-1.34948,10260.511,5e+07,1
"319","DQ164198_Hs_2002_VelocLon",61.4335276831899,0.00598737506184535,-11.4136552808265,-17.8713,-3.99381,10260.511,5e+07,1
"320","DQ164199_Hs_2003_VelocLat",233.707867932969,0.0227774102023739,-3.49967914615419,-7.48345,0.217744,10260.511,5e+07,1
"321","DQ164199_Hs_2003_VelocLon",427.827687209021,0.0416965282926962,-8.31079610266607,-15.5823,-0.851352,10260.511,5e+07,1
"322","DQ164200_Hs_2002_VelocLat",330.10726346339,0.032172594860372,-0.457222899608309,-3.99424,3.12883,10260.511,5e+07,1
"323","DQ164200_Hs_2002_VelocLon",450.269847413596,0.0438837644064313,-5.32473956254388,-12.3458,2.1488,10260.511,5e+07,1
